,content
282,orang orang pada yg komen jelek dan kasi rating jelek kebanyakan yg suka gratisan..beli juga pass ada gratisan.. suka heran dah.
283,Mantapppp..
284,kok gabisa delivery yaa??
285,Saya senang nyaman berada dan ngopi di tomoro coffe
286,manyousss..☕️ 😋👌🏼
287,Sipaling Promo
288,"Kopinya enak,exited semenjak buka di daerah ku karna kopi nya arabica 🥰🥰 Aman2 aja sih selama pake apl nya banyak promo nya jugaa🥰🥰"
289,"Kopinya enak. Cuma syg klo mau beli via app ga ada pilihan less ice nya atau pun request note. Alhasil klo beli via app pick up, yg dirasa cuma air es doang.."
290,Ini kopi terbaik sih buat kaum mendang mending kaya w ini mah pas
291,Promo terlalu banyak syarat ribet bgt
292,Kopi nya Terbaik🔥
293,"aplikasi scam, mana kopi gratis nya boongan doang sampah"
294,"Aplikasi bodong, gabisa diklaim promonya"
295,harusnya dalam option minuman ada pilihan kadar gula dan es. sayang sekali
296,"Mantep ni, terus berkembang ya"
297,Kopinya enak dan pelayananya sangat memuaskan
298,Servr error. UX is bad. pasang vc server error mulu. bnerin dong. Sudah sebulan komplain ga didengar. udah beli voucher 10rb tp zonk tdk bisa dipakai
299,"Dah bayar tpi status unpaid, tapi ga disuruh bayar lgi :)"
300,"Masih bisa diperbaik lagi kedepannya, semoga update selanjutnya ada pilihan less ice ketika memilih minuman."
301,Ok
302,"Si paling promo, tapi bo ong🤣🤣🤣🤣"
