content,tokenized_text,stemmed_text,filtered_text,tokenized_stemmed_text
interface aplikasi nya tidak terlalu sesuai buat android kadang server suka lag dan error segala macam contoh mau scan barcode ada tulisan jaraknya harus kurang dari update interface masih tidak sesuai tapi bug bug yang ada sebelumnya sudah diperbaiki mantap,"['interface', 'aplikasi', 'nya', 'tidak', 'terlalu', 'sesuai', 'buat', 'android', 'kadang', 'server', 'suka', 'lag', 'dan', 'error', 'segala', 'macam', 'contoh', 'mau', 'scan', 'barcode', 'ada', 'tulisan', 'jaraknya', 'harus', 'kurang', 'dari', 'update', 'interface', 'masih', 'tidak', 'sesuai', 'tapi', 'bug', 'bug', 'yang', 'ada', 'sebelumnya', 'sudah', 'diperbaiki', 'mantap']",interface aplikasi nya tidak terlalu sesuai buat android kadang server suka lag dan error segala macam contoh mau scan barcode ada tulis jarak harus kurang dari update interface masih tidak sesuai tapi bug bug yang ada belum sudah baik mantap,interface aplikasi terlalu sesuai android server suka lag error segala macam contoh mau scan barcode tulis jarak kurang update interface sesuai bug bug baik mantap,"['interface', 'aplikasi', 'terlalu', 'sesuai', 'android', 'server', 'suka', 'lag', 'error', 'segala', 'macam', 'contoh', 'mau', 'scan', 'barcode', 'tulis', 'jarak', 'kurang', 'update', 'interface', 'sesuai', 'bug', 'bug', 'baik', 'mantap']"
suka,['suka'],suka,suka,['suka']
saya suka makan disini,"['saya', 'suka', 'makan', 'disini']",saya suka makan sini,suka makan sini,"['suka', 'makan', 'sini']"
lebih mudah pesan  lewat aplikasi ke pizza hut tinggal ambil saja ,"['lebih', 'mudah', 'pesan', 'lewat', 'aplikasi', 'ke', 'pizza', 'hut', 'tinggal', 'ambil', 'saja']",lebih mudah pesan lewat aplikasi ke pizza hut tinggal ambil saja,lebih mudah pesan lewat aplikasi pizza hut tinggal ambil,"['lebih', 'mudah', 'pesan', 'lewat', 'aplikasi', 'pizza', 'hut', 'tinggal', 'ambil']"
mbak pizza saya ganti nomor sekarang gegara saya ganti nomor saya  tidak  bisa log in karena otp hanya dikirim ke saya apakah bisa otp dikirim ke email apakah bisa saya merubah nomor hp mohon aplikasinya di kembangkan,"['mbak', 'pizza', 'saya', 'ganti', 'nomor', 'sekarang', 'gegara', 'saya', 'ganti', 'nomor', 'saya', 'tidak', 'bisa', 'log', 'in', 'karena', 'otp', 'hanya', 'dikirim', 'ke', 'saya', 'apakah', 'bisa', 'otp', 'dikirim', 'ke', 'email', 'apakah', 'bisa', 'saya', 'merubah', 'nomor', 'hp', 'mohon', 'aplikasinya', 'di', 'kembangkan']",mbak pizza saya ganti nomor sekarang gegara saya ganti nomor saya tidak bisa log in karena otp hanya kirim ke saya apakah bisa otp kirim ke email apakah bisa saya rubah nomor hp mohon aplikasi di kembang,mbak pizza ganti nomor sekarang gegara ganti nomor log in otp kirim otp kirim email rubah nomor hp mohon aplikasi kembang,"['mbak', 'pizza', 'ganti', 'nomor', 'sekarang', 'gegara', 'ganti', 'nomor', 'log', 'in', 'otp', 'kirim', 'otp', 'kirim', 'email', 'rubah', 'nomor', 'hp', 'mohon', 'aplikasi', 'kembang']"
diaplikasi bisa pesan delivery setelah sukses transaksi beberapa menit kemudian di telepon  tidak bisa diantar karena jarak mohon maaf uninstall dulu,"['diaplikasi', 'bisa', 'pesan', 'delivery', 'setelah', 'sukses', 'transaksi', 'beberapa', 'menit', 'kemudian', 'di', 'telepon', 'tidak', 'bisa', 'diantar', 'karena', 'jarak', 'mohon', 'maaf', 'uninstall', 'dulu']",aplikasi bisa pesan delivery telah sukses transaksi beberapa menit kemudian di telepon tidak bisa antar karena jarak mohon maaf uninstall dulu,aplikasi pesan delivery sukses transaksi beberapa menit kemudian telepon antar jarak mohon maaf uninstall dulu,"['aplikasi', 'pesan', 'delivery', 'sukses', 'transaksi', 'beberapa', 'menit', 'kemudian', 'telepon', 'antar', 'jarak', 'mohon', 'maaf', 'uninstall', 'dulu']"
aplikasi baru not friendly saved address todak berhasil mohon perbaiki,"['aplikasi', 'baru', 'not', 'friendly', 'saved', 'address', 'todak', 'berhasil', 'mohon', 'perbaiki']",aplikasi baru not friendly saved address todak hasil mohon baik,aplikasi baru not friendly saved address todak hasil mohon baik,"['aplikasi', 'baru', 'not', 'friendly', 'saved', 'address', 'todak', 'hasil', 'mohon', 'baik']"
aplikasi nya ngelag saat mau login,"['aplikasi', 'nya', 'ngelag', 'saat', 'mau', 'login']",aplikasi nya ngelag saat mau login,aplikasi ngelag mau login,"['aplikasi', 'ngelag', 'mau', 'login']"
tidak ngirim otp nih dicoba puluhan kali tidak bisa login pakai  email ngirim otp malah lewat saya kocak,"['tidak', 'ngirim', 'otp', 'nih', 'dicoba', 'puluhan', 'kali', 'tidak', 'bisa', 'login', 'pakai', 'email', 'ngirim', 'otp', 'malah', 'lewat', 'saya', 'kocak']",tidak ngirim otp nih coba puluh kali tidak bisa login pakai email ngirim otp malah lewat saya kocak,ngirim otp coba puluh kali login pakai email ngirim otp malah lewat kocak,"['ngirim', 'otp', 'coba', 'puluh', 'kali', 'login', 'pakai', 'email', 'ngirim', 'otp', 'malah', 'lewat', 'kocak']"
tidak bisa log inkode otp tidak masuk k saya,"['tidak', 'bisa', 'log', 'inkode', 'otp', 'tidak', 'masuk', 'k', 'saya']",tidak bisa log inkode otp tidak masuk k saya,log inkode otp masuk k,"['log', 'inkode', 'otp', 'masuk', 'k']"
taste pizza nya selalu juara dihati,"['taste', 'pizza', 'nya', 'selalu', 'juara', 'dihati']",taste pizza nya selalu juara hati,taste pizza selalu juara hati,"['taste', 'pizza', 'selalu', 'juara', 'hati']"
daftar saja  tak bisa apalagi mau pesan  agak kebuang kalau  gini jadinya,"['daftar', 'saja', 'tak', 'bisa', 'apalagi', 'mau', 'pesan', 'agak', 'kebuang', 'kalau', 'gini', 'jadinya']",daftar saja tak bisa apalagi mau pesan agak buang kalau gin jadi,daftar tak mau pesan buang gin,"['daftar', 'tak', 'mau', 'pesan', 'buang', 'gin']"
terimakasih,['terimakasih'],terimakasih,terimakasih,['terimakasih']
cari  harga menunya membingungkan tidak  kaya dominos pilih  menu semua langsung tertera harganya yang  gaptek ky saya  sungguh ribet dan membingungkan,"['cari', 'harga', 'menunya', 'membingungkan', 'tidak', 'kaya', 'dominos', 'pilih', 'menu', 'semua', 'langsung', 'tertera', 'harganya', 'yang', 'gaptek', 'ky', 'saya', 'sungguh', 'ribet', 'dan', 'membingungkan']",cari harga menu bingung tidak kaya dominos pilih menu semua langsung tera harga yang gaptek ky saya sungguh ribet dan bingung,cari harga menu bingung kaya dominos pilih menu semua langsung tera harga gaptek ky sungguh ribet bingung,"['cari', 'harga', 'menu', 'bingung', 'kaya', 'dominos', 'pilih', 'menu', 'semua', 'langsung', 'tera', 'harga', 'gaptek', 'ky', 'sungguh', 'ribet', 'bingung']"
pelayanan fieldtrip untuk anak anak sangat bagus pizza harapan indah bekasi,"['pelayanan', 'fieldtrip', 'untuk', 'anak', 'anak', 'sangat', 'bagus', 'pizza', 'harapan', 'indah', 'bekasi']",layan fieldtrip untuk anak anak sangat bagus pizza harap indah bekas,layan fieldtrip anak anak sangat bagus pizza harap indah bekas,"['layan', 'fieldtrip', 'anak', 'anak', 'sangat', 'bagus', 'pizza', 'harap', 'indah', 'bekas']"
pertama susah mengakses lokasi terdekat kedua aplikasi loading lama ketiga juga pelayanan ribet keempat kembalikan aplikasi mudah seperti dulu,"['pertama', 'susah', 'mengakses', 'lokasi', 'terdekat', 'kedua', 'aplikasi', 'loading', 'lama', 'ketiga', 'juga', 'pelayanan', 'ribet', 'keempat', 'kembalikan', 'aplikasi', 'mudah', 'seperti', 'dulu']",pertama susah akses lokasi dekat dua aplikasi loading lama tiga juga layan ribet empat kembali aplikasi mudah seperti dulu,pertama susah akses lokasi dekat aplikasi loading lama tiga layan ribet empat aplikasi mudah dulu,"['pertama', 'susah', 'akses', 'lokasi', 'dekat', 'aplikasi', 'loading', 'lama', 'tiga', 'layan', 'ribet', 'empat', 'aplikasi', 'mudah', 'dulu']"
